Sku,Ltv Sales Adjusted Margin Dollars,Ltv Purchases Cnt,Total Amt,Ltv Sales,Ltv Return Cnt,Ltv Margin Dollars
3,15.559,1,344.94,344.94,0,-30.42
3,102.605,8,22.95,607.24,2,60.31
22,619.222,1,"2,502.37","2,502.37",0,446.44
2,53.159,2,89.98,166.96,1,30.45
8,50.244,3,220.93,800.89,0,24.85
1,124.111,2,349.99,679.98,0,16.42
1,160.016,8,89.99,"1,084.96",0,80.89
1,40.74,3,89.99,159.97,1,18.24
1,-21.482,3,139.99,439.98,0,-49.02
2,"1,701.46",27,369.69,"5,876.05",5,944.33
1,26.17,2,24.99,44.98,1,22.38
3,21.314,1,65.47,65.47,0,20.31
1,34.419,1,329.99,329.99,0,21.99
5,"1,890.46",27,206.89,"8,411.56",4,628.03
1,29.397,2,44.99,104.98,0,8.05
1,-30.64,1,379.99,379.99,0,-71.56
3,16.047,1,89.67,89.67,0,4.59
3,96.17,1,444.97,444.97,0,49.34
3,7.53,1,389.97,389.97,0,7.53
1,21.55,1,49.95,49.95,0,21.55
4,56.352,1,"1,199.94","1,199.94",0,48.84
1,100.576,1,255.84,255.84,0,41.44
4,57.683,4,23.96,133.39,0,42.55
2,-412.647,8,79.99,"1,363.76",0,-497.9
5,21.65,1,348.15,348.15,0,21.65
4,19.151,1,72.96,72.96,0,11.99
1,12.931,1,47.99,47.99,0,10.32
4,211.277,1,629.97,629.97,0,94.95
2,0,1,0,0,0,0
1,"2,033.89",39,149.99,"11,102.52",2,"1,158.74"
1,34.903,1,99.99,99.99,0,8.32
1,-8.01,1,99.99,99.99,0,-8.01
11,"15,726.82",69,"2,599.80","64,644.44",9,"8,026.46"
1,13.939,1,19.99,19.99,0,7.02
2,0,1,0,0,0,0
3,"5,107.57",53,124.97,"27,341.91",2,"2,490.33"
7,36.506,1,301.95,301.95,0,180.49
5,219.52,2,451.95,726.88,0,147.94
15,204.678,1,"2,390.85","2,390.85",0,97.26
3,351.213,5,309.84,"1,229.64",2,34.08
3,"2,579.73",19,429.97,"17,083.68",10,"1,443.04"
3,44.322,1,139.97,139.97,0,41.97
1,35.477,1,99.99,99.99,0,10.99
2,71.68,1,419.98,419.98,0,71.68
1,1.605,1,4.99,4.99,0,1.3
2,81.05,1,481.97,481.97,0,81.05
4,157.085,6,27.96,377.81,1,139.47
3,0,1,0,0,0,0
3,154.217,1,589.97,589.97,0,93.23
4,0,1,119.98,119.98,0,78.01
3,39.437,2,73.97,141.96,0,35.63
1,321.058,8,499.95,"2,075.70",1,194.96
3,19.516,1,23.97,23.97,0,19.45
3,179.337,2,284.97,"1,836.87",0,142.09
3,0,1,139.98,139.98,0,132.6
2,41.294,1,429.98,429.98,0,-5.72
2,58.24,3,68.94,76.61,0,58.24
1,48.044,1,219.99,219.99,0,43.99
1,9.57,1,11.97,11.97,0,9.57
1,22.284,1,87.96,87.96,0,13.76
6,490.845,15,61.94,"2,974.52",3,269.33
3,67.729,3,447.97,453.26,0,22.64
5,0,1,0,0,0,0
3,168.707,1,404.97,404.97,0,153.2
9,430.792,1,767.88,767.88,0,328.92
3,465.168,1,"4,163.97","4,163.97",0,446.46
4,25.205,1,69.96,69.96,0,13.28
1,23.785,1,109.99,109.99,0,16.99
1,34.539,1,119.99,119.99,0,17.99
6,35.113,1,69.94,69.94,0,33.8
3,31.324,2,42.97,74.91,0,21.23
2,344.652,6,899.98,"3,502.13",3,287.75
1,88.99,1,"1,099.99","1,099.99",0,88.99
3,32.48,1,88.97,88.97,0,32.48
4,136.663,1,909.96,909.96,0,125.26
1,43.66,2,89.99,92.98,0,17.7
8,"1,199.90",1,"1,387.89","1,387.89",0,39.03
2,56.991,1,599.98,599.98,0,-85.63
4,483.429,3,864.96,"2,594.88",2,453.24
4,3.534,1,55.98,55.98,0,52.03
1,576.486,11,95.94,"3,195.53",4,367.29
1,29.04,2,99.8,125.78,0,28.1
6,0,1,169.98,169.98,0,169.98
15,280.279,3,"2,837.85","2,858.81",2,145.31
4,0,3,99.99,99.99,1,99.99
3,23.46,1,89.99,89.99,0,10.99
5,67.96,1,767.71,767.71,0,-6.29
1,22.18,2,68.99,135.48,1,2.48
5,45.383,1,78.95,78.95,0,14.87
3,224.413,3,232.97,"1,068.83",2,222.58
4,119.578,1,"1,202.32","1,202.32",1,31.07
1,-11.255,2,27.99,477.98,0,-23.77
4,37.115,1,108.96,108.96,0,31.24
2,221.864,3,309.98,"1,134.78",0,-15.9
2,24.645,2,11.98,81.97,0,22.37
3,-150.03,1,"1,079.97","1,079.97",0,-150.03
1,58.85,2,25.99,205.54,0,48.75
3,20.042,2,26.67,48.66,1,19.76
1,34.474,3,49.9,112.86,0,30.15
3,149.832,3,339.97,"1,409.94",1,95.84
5,24.563,1,563.95,563.95,0,9.76
5,0,1,119.98,119.98,0,77.72
4,28.532,1,38.46,38.46,0,18.32
1,"1,773.78",48,59.99,"11,697.61",8,959.74
2,708.449,13,68.98,"1,203.25",1,618.5
1,45.347,2,49.99,97.98,1,31.21
13,329.484,1,"2,829.87","2,829.87",0,319.36
2,15.12,1,81.98,81.98,0,11.94
1,314.826,5,99.99,640.89,0,281.12
6,154.819,1,403.94,403.94,0,146.84
1,-1.02,6,459.99,"2,759.94",0,-1.02
1,91.587,1,629.99,629.99,0,27.44
5,130.492,1,333.95,333.95,0,119.79
1,113.601,2,39.99,889.98,0,34.3
4,9.2,1,23.96,23.96,0,5.72
1,69.98,2,69.99,144.13,0,101.86
2,121.098,1,184.98,184.98,0,120.64
6,"6,457.20",153,607.94,"41,148.87",24,"2,938.88"
1,41.955,3,39.99,899.97,0,-39.65
1,46.727,4,5.99,83.65,0,-46.56
1,28.59,1,56.99,56.99,0,28.59
1,137.872,4,139.99,"1,769.96",1,97.98
1,69.656,1,459.99,459.99,0,63.68
2,123.63,1,359.98,359.98,0,123.63
5,122.711,2,122.9,222.88,0,102.33
4,88.643,7,43.16,347.69,0,71.05
9,433.486,1,783.91,783.91,0,69.63
10,270.922,2,"1,105.22","1,105.22",0,174.88
8,80.279,1,182.92,182.92,0,67.86
1,162.639,4,159.99,954.94,1,358.05
2,245.602,7,159.98,"1,542.85",1,89.21
1,"3,639.89",57,449.99,"16,508.15",6,"1,997.81"
4,388.75,4,989.96,"3,819.88",3,9.34
1,20.48,1,99.99,99.99,0,20.48
6,"1,345.33",1,"6,379.75","6,379.75",0,28.13
2,"4,520.75",22,844.98,"91,770.53",6,"-13,005.44"
2,18.539,1,149.98,149.98,0,-24.69
1,-437.123,24,31.96,"8,141.29",10,"-2,088.54"
1,74.1,1,474.05,474.05,0,74.1
2,209.071,2,639.98,"2,674.93",0,110.38
1,22.15,1,29.99,29.99,0,22.15
3,27.334,1,233.96,233.96,0,26.6
1,15.488,1,199.96,199.96,0,-50.07
3,86.59,1,"2,899.97","2,899.97",1,45.67
5,266.118,3,502.95,"1,182.93",0,238.97
2,22.455,1,369.98,369.98,0,-25.41
1,-34.959,8,0.01,"1,046.72",1,792.46
1,12.99,1,99.99,99.99,0,12.99
1,95.907,1,779.99,779.99,1,-366.66
1,43.927,4,599.99,"1,339.82",1,28.96
2,70.449,1,249.98,249.98,0,50.38
4,884.831,4,538.96,"3,405.74",1,725.14
3,795.698,7,464.96,"2,979.29",0,657.18
1,-30.8,1,649.99,649.99,0,-30.8
11,"4,128.06",77,"10,884.54","141,294.65",2,"-13,931.47"
1,33.562,1,99.98,99.98,0,28.3
1,27.832,1,99.99,99.99,0,20.25
10,970.58,4,"4,649.87","6,118.80",1,-198.74
5,407.954,9,39.95,"1,656.72",2,116.83
2,18.098,1,37.98,37.98,0,14.98
4,"1,197.53",2,"2,449.96","3,879.86",0,539.91
6,176.669,2,885.94,"1,118.91",1,82.97
2,129.572,3,329.98,729.96,1,97.1
1,0,1,0,0,0,0
2,79.936,1,719.98,719.98,0,31.89
17,395.619,2,"1,822.83","1,822.83",0,313.42
2,5.41,1,419.98,419.98,1,-8.98
2,885.353,17,109.98,"3,382.80",2,581.11
1,11.385,1,14.99,14.99,0,10.99
2,"2,838.12",14,929.98,"9,322.22",2,"1,639.39"
3,22.371,1,43.97,43.97,0,19.12
4,252.559,3,577.92,882.89,1,213.52
1,140.848,2,349.99,549.98,0,61.61
4,495.006,9,319.96,"1,284.76",0,401.59
4,59.075,3,48.96,133.92,3,17.58
3,51.094,1,97.97,97.97,0,34.74
2,"2,730.64",47,137.98,"12,278.92",2,"2,171.01"
5,63.539,1,312.95,312.95,0,18.09
1,42.419,1,39.99,39.99,0,-5
4,87.696,5,46.95,272.87,2,68.92
7,686.841,8,350.93,"1,825.80",5,550.74
1,921.772,4,24.99,"6,051.56",0,808.78
2,25.192,1,75.98,75.98,0,22.72
2,20.916,1,309.98,309.98,0,-45.21
1,21.873,1,149.99,149.99,0,14.99
2,0,1,0,0,0,0
27,595.604,1,838.7,838.7,0,584.24
2,23.609,1,44.98,44.98,0,0.76
5,206.951,6,171.95,930.79,1,215.71
3,0,1,0,0,0,0
1,481.829,6,59.99,"2,290.80",1,402.74
1,179.224,9,9.98,299.45,0,161.95
5,34.7,1,"1,004.95","1,004.95",0,12.94
1,115.133,1,949.99,949.99,0,60.07
3,367.267,3,999.96,"1,639.92",0,227.69
2,"2,001.72",17,"3,179.88","13,863.16",3,827.98
4,8.928,1,92.98,92.98,0,77.38
6,338.59,3,332.94,995.82,0,105.06
2,479.625,5,434.98,"2,108.86",0,266.98
2,11.739,1,49.98,49.98,0,1.82
1,58.889,1,199.99,199.99,0,50
2,14.155,2,49.99,195.97,0,126.02
3,0,1,0,0,0,0
